address,text,category
0x0021D480,"cvFsAddDev #3:failed added a device","OTHER"
0x0021D4A8,"cvFsDelDev #1:illegal device name","OTHER"
0x0021D4D0,"cvFsSetDefDev #1:illegal device name","OTHER"
0x0021D4F8,"cvFsSetDefDev #2:unknown device name","OTHER"
0x0021D520,"cvFsOpen #1:illegal file name","OTHER"
0x0021D540,"cvFsOpen #3:failed handle alloced","OTHER"
0x0021D568,"cvFsOpen #2:illegal device name","OTHER"
0x0021D588,"cvFsOpen #4:device not found","OTHER"
0x0021D5A8,"cvFsOpen #5:vtbl error","OTHER"
0x0021D5C0,"cvFsOpen #6:open failed","OTHER"
0x0021D5D8,"cvFsClose #1:handle error","OTHER"
0x0021D5F8,"cvFsClose #2:vtbl error","OTHER"
0x0021D610,"cvFsTell #1:handle error","OTHER"
0x0021D630,"cvFsTell #2:vtbl error","OTHER"
0x0021D648,"cvFsSeek #1:handle error","OTHER"
0x0021D668,"cvFsSeek #2:vtbl error","OTHER"
0x0021D680,"cvFsReqRd #1:handle error","OTHER"
0x0021D6A0,"cvFsReqRd #2:vtbl error","OTHER"
0x0021D6B8,"cvFsReqWr #1:handle error","OTHER"
0x0021D6D8,"cvFsReqWr #2:vtbl error","OTHER"
0x0021D6F0,"cvFsStopTr #1:handle error","OTHER"
0x0021D710,"cvFsStopTr #2:vtbl error","OTHER"
0x0021D730,"cvFsGetStat #1:handle error","OTHER"
0x0021D750,"cvFsGetStat #2:vtbl error","OTHER"
0x0021D770,"cvFsGetFileSize #1:illegal file name","OTHER"
0x0021D798,"cvFsGetFileSize #2:illegal device name","OTHER"
0x0021D7C0,"cvFsGetFileSize #3:device not found","OTHER"
0x0021D7E8,"cvFsGetFileSize #4:vtbl error","OTHER"
0x0021D808,"cvFsGetFileSizeEx #1:illegal file name","OTHER"
0x0021D830,"cvFsGetFileSizeEx #2:illegal device name","OTHER"
0x0021D860,"cvFsGetFileSizeEx #3:device not found","OTHER"
0x0021D888,"cvFsGetFileSizeEx #4:vtbl error","OTHER"
0x0021D8A8,"cvFsGetFileSizeByHndl #1:illegal file handle","OTHER"
0x0021D8D8,"cvFsGetFreeSize #5:device not found","OTHER"
0x0021D900,"cvFsGetFreeSize #6:vtbl error","OTHER"
0x0021D920,"cvFsGetSctLen #1:handle error","OTHER"
0x0021D940,"cvFsGetSctLen #2:vtbl error","OTHER"
0x0021D960,"cvFsSetSctLen #3:handle error","OTHER"
0x0021D980,"cvFsSetSctLen #4:vtbl error","OTHER"
0x0021D9A0,"cvFsGetNumTr #1:handle error","OTHER"
0x0021D9C0,"cvFsGetNumTr #2:vtbl error","OTHER"
0x0021D9E0,"cvFsChangeDir #1:illegal directory name","OTHER"
0x0021DA08,"cvFsChangeDir #2:illegal device name","OTHER"
0x0021DA30,"cvFsChangeDir #3:device not found","OTHER"
0x0021DA58,"cvFsChangeDir #4:vtbl error","OTHER"
0x0021DA78,"cvFsIsExistFile #1:illegal file name","OTHER"
0x0021DAA0,"cvFsIsExistFile #2:illegal device name","OTHER"
0x0021DAC8,"cvFsIsExistFile #3:device not found","OTHER"
0x0021DAF0,"cvFsIsExistFile #4:vtbl error","OTHER"
0x0021DB10,"cvFsGetMaxByteRate #1:handle error","OTHER"
0x0021DB38,"cvFsGetMaxByteRate #2:vtbl error","OTHER"
0x0021DB60,"cvFsMakeDir #1:illegal directory name","OTHER"
0x0021DB88,"cvFsMakeDir #2:illegal device name","OTHER"
0x0021DBB0,"cvFsMakeDir #3:device not found","OTHER"
0x0021DBD0,"cvFsMakeDir #4:vtbl error","OTHER"
0x0021DBF0,"cvFsRemoveDir #1:illegal directory name","OTHER"
0x0021DC18,"cvFsRemoveDir #2:illegal device name","OTHER"
0x0021DC40,"cvFsRemoveDir #3:device not found","OTHER"
0x0021DC68,"cvFsRemoveDir #4:vtbl error","OTHER"
0x0021DC88,"cvFsDeleteFile #1:illegal file name","OTHER"
0x0021DCB0,"cvFsDeleteFile #2:illegal device name","OTHER"
0x0021DCD8,"cvFsDeleteFile #3:device not found","OTHER"
0x0021DD00,"cvFsDeleteFile #4:vtbl error","OTHER"
0x0021DD20,"cvFsGetDevName #1:vtbl error","OTHER"
0x0021DD40,"cvFsOptFn1 #1:handle error","OTHER"
0x0021DD60,"cvFsOptFn1 #2:vtbl error","OTHER"
0x0021DD80,"cvFsOptFn2 #1:handle error","OTHER"
0x0021DDA0,"cvFsOptFn2 #2:vtbl error","OTHER"
0x0021DDC0,"cvFsSetCurVolume #1:illegal device name","OTHER"
0x0021DDE8,"cvFsSetCurVolume #2:illegal image handle","OTHER"
0x0021DE18,"cvFsSetCurVolume #3:device not found","OTHER"
0x0021DE40,"cvFsAddVolumeEx #1:illegal device name","OTHER"
0x0021DE68,"cvFsAddVolumeEx #2:illegal volume name","OTHER"
0x0021DE90,"cvFsAddVolumeEx #3:illegal image handle","OTHER"
0x0021DEB8,"cvFsAddVolumeEx #3:device not found","OTHER"
0x0021DEE0,"cvFsDelVolume #1:illegal device name","OTHER"
0x0021DF08,"cvFsDelVolume #2:illegal volume name","OTHER"
0x0021DF30,"cvFsDelVolume #3:device not found","OTHER"
0x0021DF58,"cvFsGetVolumeInfo #1:illegal device name","OTHER"
0x0021DF88,"cvFsGetVolumeInfo #2:illegal volume name","OTHER"
0x0021DFB8,"cvFsGetVolumeInfo #3:device not found","OTHER"
0x0021DFE0,"cvFsSetDefVol #1:illegal device name","OTHER"
0x0021E008,"cvFsSetDefVol #2:illegal volume name","OTHER"
0x0021E030,"cvFsSetDefVol #3:device not found","OTHER"
0x0021E058,"%s:%s","OTHER"
0x0021E060,"cvFsGetNumTr64 #1:handle error","OTHER"
0x0021E080,"cvFsGetFsys64Info #1:handle error","OTHER"
0x0021E0B0,"
SRD/PS2EE Ver.2.18a Build:Jul 28 2003 17:50:12
","OTHER"
0x0021E0E8,"SRD: SRD_Destroy, invalidate srd handle. hn=%0x, srd_obj=%08x\r
","OTHER"
0x0021E128,"SRD: invalid SRD_Destroy.\r
","OTHER"
0x0021E148,"SRD: srd_wait_hst timeout.\r
","OTHER"
0x0021E168,"SRD: SRD_Break handle is NULL\r
","OTHER"
0x0021E188,"SRD: Already Break!\r
","OTHER"
0x0021E1A0,"SRD: Drive Error (sceCdGetError = 0x%x)\r
","OTHER"
0x0021E1D0,"SRD: sceCdBreak is fail. %d
","OTHER"
0x0021E248,"SRD: SRD_WaitForExecServer timeout.(10sec)
","OTHER"
0x0021E278,"SRD: SRD Info.
","OTHER"
0x0021E288," srd_enter_fg       = %d
","OTHER"
0x0021E2A8," srd_debug_geterror = %d
","OTHER"
0x0021E2C8," srd_obj.stat       = %d
","OTHER"
0x0021E2E8," srd_obj.devtype    = DVD
","OTHER"
0x0021E308," srd_obj.devtype    = HOST
","OTHER"
0x0021E328," Read Status(DVD=2/HST=1) = %d
","OTHER"
0x0021E348,"SRD: 64bit Host filesystem.\r
","OTHER"
0x0021E368,"SRD: Enable HostLock\r
","OTHER"
0x0021E380,"SRD: sceLseek64 error = %d\r
","OTHER"
0x0021E3A0,"SRD: sceLseek error = %d\r
","OTHER"
0x0021E3C0,"SRD: sceIoctl error = %d\r
","OTHER"
0x0021E3E0,"SRD: sceOpen error = %d\r
","OTHER"
0x0021E400,"SRD: sceClose error = %d\r
","OTHER"
0x0021E420,"SRD: sceRead error = %d\r
","OTHER"
0x0021E440,"
DTR Ver.1.03 Build:Jul 28 2003 17:50:08
","OTHER"
0x0021E470,"DTR_ExecHndl: Internal Error
","OTHER"
0x0021E490,"DTR_ExecHndl: Internal Error len
","OTHER"
0x0021E4B8,"cks.data=%08x, ckd.data=%08x, cks.len=%d
","OTHER"
0x0021E4E8,"DTR_ExecHndl: Internal Error cks.data
","OTHER"
0x0021E510,"DTR_ExecHndl: Internal Error ckd.data
","OTHER"
0x0021E538,"E0101701 DTR_ExecHndl: can't use DMA
","OTHER"
0x0021E560,"DTR_Init: in (%d)
","OTHER"
0x0021E578,"DTR_Init: out
","OTHER"
0x0021E588,"i:%d DTR_MAX_OBJ:%d
","OTHER"
0x0021E5A0,"
DTX Ver.1.04 Build:Jul 28 2003 17:50:08
","OTHER"
0x0021E5D0,"Hello from EE (%d)","OTHER"
0x0021E5E8,"eewk is not alignment 64 byte
","OTHER"
0x0021E608,"iopwk is not alignment 32 byte
","OTHER"
0x0021E628,"wklen=%d is not 64*N
","OTHER"
0x0021E640,"illeagal ID (%d) 
","OTHER"
0x0021E658,"DTX_Create: can't create DTX of server
","OTHER"
0x0021E680,"E0092101: DTX_Init bind errr
","OTHER"
0x0021E6A0,"
DVCI/PS2EE Ver.2.64 Build:Jul 28 2003 17:50:09
","OTHER"
0x0021E708,"E0092901:fname is null.(dvCiGetFileSize)","OTHER"
0x0021E738,"DVCI: sceCdSearchFile failed. \%s\
","OTHER"
0x0021E760,"E0092902:can't find file.(dvCiGetFileSize)","OTHER"
0x0021E790,"E0092908:fname is null.(dvCiOpen)","OTHER"
0x0021E7B8,"E0092909:rw is illigal.(dvCiOpen)","OTHER"
0x0021E7E0,"E0092910:not enough handle resource.(dvCiOpen)","OTHER"
0x0021E810,"DVCI: File cache was not hit. \%s\
","OTHER"
0x0021E838,"E0092911:sceCdSearchFile fail.(dvCiOpen)","OTHER"
0x0021E868,"E0092912:handl is null.","OTHER"
0x0021E880,"E0092913:nsct < 0.(dvCiReqRd)","OTHER"
0x0021E8A0,"E0092914:buf is null.(dvCiReqRd)","OTHER"
0x0021E8C8,"DVCI: dvCiStopTr timeout. (10sec)\r
","OTHER"
0x0021E908,"DVCI: \%s\ found.
","OTHER"
0x0021E920,"DVCI: \%s\ Not found.
","OTHER"
0x0021E938,"DVCI: Total %d files.
","OTHER"
0x0021E950,"DVCI: Warning, Can't load all cache file.%c","OTHER"
0x0021E980,"DVD-ROM","OTHER"
0x0021E988,"DVCI: CD/DVD-ROM Image opened%c
","OTHER"
0x0021E9B0,"DVCI: Invalidate filelist buffer pointer.\r
","OTHER"
0x0021E9E0,"DVCI: Invalidate filelist buffer size.\r
","OTHER"
0x0021EA10,"DVCI: Can't read filelist file.(%s)
","OTHER"
0x0021EA38,"E0111501:can't read filelist.(dvCiLoadDirInfo)","OTHER"
0x0021EA70,"
HTCI/PS2EE Ver.2.68 Build:Jul 28 2003 17:50:10
","OTHER"
0x0021EAD8,"E0092704:fname is null.(htCiGetFileSize)","OTHER"
0x0021EB08,"HTCI: sceOpen failed. \%s\
","OTHER"
0x0021EB28,"E0092705:sceOpen fail.(htCiGetFileSize)","OTHER"
0x0021EB50,"HTCI: sceOpen failed. IOP Module version is invalid.
","OTHER"
0x0021EB88,"E0082101:sceOpen fail.(htCiGetFileSize)","OTHER"
0x0021EBB0,"HTCI: sceOpen failed. file desc is insufficient.
","OTHER"
0x0021EBE8,"E0092706:sceLseek fail.(htCiGetFileSize)","OTHER"
0x0021EC18,"E0092707:sceClose fail.(htCiGetFileSize)","OTHER"
0x0021EC48,"E0092708:fname is null.(htCiOpen)","OTHER"
0x0021EC70,"E0092709:rw is illigal.(htCiOpen)","OTHER"
0x0021EC98,"E0092710:not enough handle resource.(htCiOpen)","OTHER"
0x0021ECC8,"HTCI: File cache was not hit. \%s\
","OTHER"
0x0021ECF0,"E0092711:sceOpen fail.(htCiOpen)","OTHER"
0x0021ED18,"HTCI: Failed sceClose
","OTHER"
0x0021ED30,"E0092712:handl is null.","OTHER"
0x0021ED48,"E0092713:nsct < 0.(htCiReqRd)","OTHER"
0x0021ED68,"E0092714:buf is null.(htCiReqRd)","OTHER"
0x0021ED90,"E0082401:handl is null.","OTHER"
0x0021EDA8,"HTCI: htCiStopTr timeout.\r
","OTHER"
0x0021EDD8,"HTCI: \%s\ can't Open.(sceOpen)
","OTHER"
0x0021EE00,"HTCI: \%s\ Opened.(sceOpen)
","OTHER"
0x0021EE20,"HTCI: Total %d files.
","OTHER"
0x0021EE38,"HTCI: Error, Can't load all cache file.%c","OTHER"
0x0021EE68,"HTCI: \%s\ can't Close.(sceClose)
","OTHER"
0x0021EE90,"HTCI: \%s\ Closed.(sceClose)
","OTHER"
0x0021EEB0,"HTCI: Total %d files
","OTHER"
0x0021EEC8,"HTCI: Invalidate filelist buffer pointer.\r
","OTHER"
0x0021EEF8,"HTCI: Invalidate filelist buffer size.\r
","OTHER"
0x0021EF28,"HTCI: Can't read filelist file.(%s)
","OTHER"
0x0021EF50,"E0111501:can't read filelist.(htCiLoadDirInfo)","OTHER"
0x0021EF80,"host:","OTHER"
0x0021EF88,"E0001: Illigal parameter=sj (LSC_Create)
","OTHER"
0x0021EFB8,"E0002: Not enough instance (LSC_Create)
","OTHER"
0x0021EFE8,"E0003: Illigal parameter lsc=NULL
","OTHER"
0x0021F010,"E0011: Illigal parameter fname=%s
","OTHER"
0x0021F038,"E0009: Illigal parameter no=%d
","OTHER"
0x0021F058,"E0012: Can not find stream ID =%d
","OTHER"
0x0021F080,"E0010: Illigal parameter min=%d
","OTHER"
0x0021F0A8,"
LSC/PS2EE Ver.2.14 Build:Jul 28 2003 17:50:11
","OTHER"
0x0021F0D8,"E0013: '%s' is different from entry file name.(LSC_ExecServer)
","OTHER"
0x0021F118,"E0007: lsc->fp=NULL
","OTHER"
0x0021F130,"
PS2RNA Ver 1.21 Build:Jul 28 2003 17:50:11
","OTHER"
0x0021F160,"PS2RNA_SetupVoice:Illigal parameter(nste=%d).","OTHER"
0x0021F190,"PS2RNA_SetupVoice:Illigal parameter(nmono=%d).","OTHER"
0x0021F1C0,"PS2RNA_SetupVoice:The set-up value exceeded maximum(MAX=%d).","OTHER"
0x0021F200,"PS2RNA: E01112903: Failed, sceSifAllocIopHeap(%d) in ps2rna_init_psj
","OTHER"
0x0021F248,"PS2RNA: sceSifAllocIopHeap(%d) ret=0x%08x
","OTHER"
0x0021F278,"E0110101: ps2rna_init_psj wk size error
","OTHER"
0x0021F2A8,"E0110102: ps2rna_init_psj: can't creat SJUNI_CreaetRmt
","OTHER"
0x0021F2E0,"E0110103: ps2rna_init_psj: wk size error
","OTHER"
0x0021F310,"E0110104: ps2rna_init_psj: can't creat SJUNI_Creaet
","OTHER"
0x0021F348,"E0110105: ps2rna_init_psj: can't creat SJX_Create
","OTHER"
